Rk,School,Conf,AP Rank,W,L,T,OSRS,DSRS,SRS
1,Penn State,Big Ten,2,12,0,0,20.15,5.87,26.02
2,Florida,SEC (East),7,10,2,1,12.94,8.84,21.79
3,Florida State,ACC,4,10,1,1,11.24,9.74,20.98
4,Nebraska,Big 8,1,13,0,0,9.54,11.11,20.65
5,Colorado,Big 8,3,11,1,0,13.05,5.35,18.4
6,Miami (FL),Big East,6,10,2,0,3.4,14.18,17.58
7,Michigan,Big Ten,12,8,4,0,10.01,6.72,16.73
8,Ohio State,Big Ten,14,9,4,0,2,13.61,15.6
9,Auburn,SEC (West),9,9,1,1,8.95,6.64,15.59
10,Illinois,Big Ten,,7,5,0,2.09,13.33,15.41
11,Texas A&M,SWC,8,10,0,1,4.75,10.13,14.88
12,Alabama,SEC (West),5,12,1,0,3.21,10.5,13.72
13,Tennessee,SEC (East),22,8,4,0,5.64,7.19,12.83
14,Southern California,Pac-10,13,8,3,1,5.57,6.84,12.41
15,Utah,WAC,10,10,2,0,5.16,6.67,11.83
16,Oregon,Pac-10,11,9,4,0,4.5,6.82,11.32
17,Notre Dame,Ind,,6,5,1,6.15,5.14,11.28
18,Virginia,ACC,15,9,3,0,4.22,6.57,10.79
19,Washington State,Pac-10,21,8,4,0,-3.36,14.1,10.75
20,Boston College,Big East,23,7,4,1,0.21,10.37,10.57
21,Kansas State,Big 8,19,9,3,0,1.44,9.14,10.57
22,Wisconsin,Big Ten,,7,4,1,2.73,7.77,10.5
23,Washington,Pac-10,,7,4,0,7.11,3.19,10.3
24,Colorado State,WAC,16,10,2,0,6.54,2.51,9.05
25,Arizona,Pac-10,20,8,4,0,0.46,7.93,8.39
26,Michigan State,Big Ten,,5,6,0,3.93,3.83,7.75
27,Duke,ACC,,8,4,0,7.79,-0.28,7.51
28,Virginia Tech,Big East,,8,4,0,3.87,3.21,7.08
29,Georgia,SEC (East),,6,4,1,8.18,-1.19,6.99
30,Brigham Young,WAC,18,10,3,0,5.21,1.7,6.91
31,Mississippi State,SEC (West),24,8,4,0,6.47,-0.11,6.36
32,Texas,SWC,25,8,4,0,7.09,-0.76,6.33
33,Indiana,Big Ten,,6,5,0,4.39,1.72,6.11
34,Texas Tech,SWC,,6,6,0,0.67,5.31,5.98
35,South Carolina,SEC (East),,7,5,0,5.03,0.85,5.88
36,Iowa,Big Ten,,5,5,1,3.84,1.86,5.7
37,North Carolina,ACC,,8,4,0,4.45,1.12,5.56
38,Air Force,WAC,,8,4,0,5,0.34,5.34
39,North Carolina State,ACC,17,9,3,0,3.12,1.85,4.97
40,Purdue,Big Ten,,4,5,2,8.66,-4.13,4.53
41,Louisiana State,SEC (West),,4,7,0,5.27,-0.78,4.49
42,East Carolina,Ind,,7,5,0,2.03,1.99,4.02
43,Oklahoma,Big 8,,6,6,0,-1.48,4.84,3.35
44,Minnesota,Big Ten,,3,8,0,2.98,-0.01,2.97
45,Southern Mississippi,Ind,,6,5,0,1.82,1.14,2.96
46,Baylor,SWC,,7,5,0,4.13,-1.46,2.67
47,Kansas,Big 8,,6,5,0,1.29,1.26,2.55
48,Arkansas,SEC (West),,4,7,0,-2.8,5.26,2.47
49,Syracuse,Big East,,7,4,0,1.9,0.19,2.09
50,Mississippi,SEC (West),,4,7,0,-2.92,4.97,2.05
51,Oregon State,Pac-10,,4,7,0,-2.06,4.09,2.03
52,UCLA,Pac-10,,5,6,0,1.81,-0.41,1.39
53,Texas Christian,SWC,,7,5,0,2.49,-1.18,1.31
54,West Virginia,Big East,,7,6,0,-1.75,3.02,1.27
55,Wyoming,WAC,,6,6,0,2.37,-1.96,0.41
56,New Mexico,WAC,,5,7,0,8.78,-8.43,0.35
57,California,Pac-10,,4,7,0,-4.93,5.26,0.32
58,Vanderbilt,SEC (East),,5,6,0,-2.82,3.14,0.32
59,Clemson,ACC,,5,6,0,-8.84,8.72,-0.12
60,Nevada,Big West,,9,2,0,6.21,-6.48,-0.27
61,Stanford,Pac-10,,3,7,1,8.14,-8.67,-0.54
62,Louisville,Ind,,6,5,0,0.76,-1.36,-0.6
63,Rutgers,Big East,,5,5,1,0.14,-0.95,-0.8
64,Northwestern,Big Ten,,3,7,1,0,-0.81,-0.81
65,Bowling Green State,MAC,,9,2,0,-0.27,-0.65,-0.92
66,Memphis,Ind,,6,5,0,-7.42,6.4,-1.02
67,San Diego State,WAC,,4,7,0,4.8,-5.98,-1.18
68,Arizona State,Pac-10,,3,8,0,3.37,-5.02,-1.65
69,Rice,SWC,,5,6,0,-5.01,2.54,-2.48
70,Fresno State,WAC,,5,7,1,5.22,-7.72,-2.5
71,Maryland,ACC,,4,7,0,2.53,-5.26,-2.73
72,Hawaii,WAC,,3,8,1,-4.22,1.48,-2.74
73,Pittsburgh,Big East,,3,8,0,0.87,-4.59,-3.72
74,Oklahoma State,Big 8,,3,7,1,-7.38,1.59,-5.79
75,Missouri,Big 8,,3,8,1,-3.9,-2.25,-6.15
76,Pacific,Big West,,6,5,0,-5,-1.94,-6.94
77,Georgia Tech,ACC,,1,10,0,-5.3,-2.11,-7.41
78,Northern Illinois,Big West,,4,7,0,1.49,-9.4,-7.91
79,Central Michigan,MAC,,9,3,0,0.97,-9.11,-8.15
80,Kentucky,SEC (East),,1,10,0,-8.11,-0.65,-8.75
81,Army,Ind,,4,7,0,-8.36,-1.02,-9.38
82,Nevada-Las Vegas,Big West,,7,5,0,-2.73,-7.01,-9.74
83,Texas-El Paso,WAC,,3,7,1,-6.37,-3.52,-9.89
84,Tulsa,Ind,,3,8,0,-2.57,-7.42,-9.98
85,Louisiana-Monroe,Ind,,3,8,0,-4.68,-5.34,-10.02
86,Southern Methodist,SWC,,1,9,1,-4.78,-5.38,-10.16
87,Louisiana,Big West,,6,5,0,-5.29,-4.99,-10.27
88,Western Michigan,MAC,,7,4,0,-7.63,-2.82,-10.45
89,Temple,Big East,,2,9,0,0.65,-11.87,-11.22
90,Toledo,MAC,,6,4,1,1.21,-12.79,-11.58
91,Miami (OH),MAC,,5,5,1,-4.88,-7.05,-11.92
92,Cincinnati,Ind,,2,8,1,-9.17,-3.21,-12.39
93,Wake Forest,ACC,,3,8,0,-8.78,-4.41,-13.2
94,Iowa State,Big 8,,0,10,1,-3.95,-9.26,-13.21
95,Tulane,Ind,,1,10,0,-9.69,-3.82,-13.52
96,Eastern Michigan,MAC,,5,6,0,-6.73,-7.05,-13.78
97,Navy,Ind,,3,8,0,-6.69,-7.2,-13.89
98,Ball State,MAC,,5,5,1,-4.53,-10.17,-14.7
99,San Jose State,Big West,,3,8,0,-9.14,-5.75,-14.89
100,Utah State,Big West,,3,8,0,-7.98,-8.45,-16.43
101,New Mexico State,Big West,,3,8,0,-4.59,-12.22,-16.81
102,Louisiana Tech,Big West,,3,8,0,-13.33,-3.73,-17.06
103,Houston,SWC,,1,10,0,-11.34,-6.89,-18.23
104,Arkansas State,Big West,,1,10,0,-15.89,-2.51,-18.4
105,Kent State,MAC,,2,9,0,-17.94,-5.78,-23.72
106,Ohio,MAC,,0,11,0,-23.51,-5.26,-28.78
107,Akron,MAC,,1,10,0,-17.78,-13.39,-31.17
